date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:35:53	68251/68251	---MCZ	200	added ('OK')	text/html	etag:W/%2210a9b-5cd72b6dd2f68%22	http://stukram.mikhailmasterov.com/html/home-3.html	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/home-3.html	(from http://stukram.mikhailmasterov.com/html/home-5.html)
11:35:54	46740/46740	---MCZ	200	added ('OK')	text/html	etag:W/%22b694-5cd72b6e05be8%22	http://stukram.mikhailmasterov.com/html/home-4.html	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/home-4.html	(from http://stukram.mikhailmasterov.com/html/home-5.html)
11:35:54	31548/31548	---MCZ	200	added ('OK')	text/html	etag:W/%227b3c-5cd72b6e954c8%22	http://stukram.mikhailmasterov.com/html/home-6.html	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/home-6.html	(from http://stukram.mikhailmasterov.com/html/home-5.html)
11:35:54	21151/21151	---MCZ	200	added ('OK')	text/html	etag:W/%22529f-5cd72b6ed5c08%22	http://stukram.mikhailmasterov.com/html/projectSlider-1.html	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/projectSlider-1.html	(from http://stukram.mikhailmasterov.com/html/home-5.html)
11:35:54	40192/40192	---MCZ	200	added ('OK')	text/html	etag:W/%229d00-5cd72b6f18288%22	http://stukram.mikhailmasterov.com/html/about-1.html	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/about-1.html	(from http://stukram.mikhailmasterov.com/html/home-5.html)
11:35:55	31049/31049	---MCZ	200	added ('OK')	text/html	etag:W/%227949-5cd72b6f20f28%22	http://stukram.mikhailmasterov.com/html/about-2.html	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/about-2.html	(from http://stukram.mikhailmasterov.com/html/home-5.html)
11:35:55	37356/37356	---MCZ	200	added ('OK')	text/html	etag:W/%2291ec-5cd72b6edc968%22	http://stukram.mikhailmasterov.com/html/services-1.html	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/services-1.html	(from http://stukram.mikhailmasterov.com/html/home-5.html)
11:35:55	34451/34451	---MCZ	200	added ('OK')	text/html	etag:W/%228693-5cd72b6ee65a8%22	http://stukram.mikhailmasterov.com/html/services-2.html	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/services-2.html	(from http://stukram.mikhailmasterov.com/html/home-5.html)
11:35:56	15161/15161	---MCZ	200	added ('OK')	text/html	etag:W/%223b39-5cd72b6f0d6a8%22	http://stukram.mikhailmasterov.com/html/404-light.html	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/404-light.html	(from http://stukram.mikhailmasterov.com/html/home-5.html)
11:35:56	15213/15213	---MCZ	200	added ('OK')	text/html	etag:W/%223b6d-5cd72b6effbe8%22	http://stukram.mikhailmasterov.com/html/404-dark.html	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/404-dark.html	(from http://stukram.mikhailmasterov.com/html/home-5.html)
11:35:56	20427/20427	---MCZ	200	added ('OK')	text/html	etag:W/%224fcb-5cd72b6d7d068%22	http://stukram.mikhailmasterov.com/html/contact-1.html	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/contact-1.html	(from http://stukram.mikhailmasterov.com/html/home-5.html)
11:35:57	23443/23443	---MCZ	200	added ('OK')	text/html	etag:W/%225b93-5cd72b6d7ff48%22	http://stukram.mikhailmasterov.com/html/contact-2.html	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/contact-2.html	(from http://stukram.mikhailmasterov.com/html/home-5.html)
11:35:57	28373/28373	---MCZ	200	added ('OK')	text/html	etag:W/%226ed5-5cd72b6ef2128%22	http://stukram.mikhailmasterov.com/html/team.html	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/team.html	(from http://stukram.mikhailmasterov.com/html/home-5.html)
11:35:57	27474/27474	---MCZ	200	added ('OK')	text/html	etag:W/%226b52-5cd72b6ecfe48%22	http://stukram.mikhailmasterov.com/html/pricing.html	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/pricing.html	(from http://stukram.mikhailmasterov.com/html/home-5.html)
11:35:58	23957/23957	---MCZ	200	added ('OK')	text/html	etag:W/%225d95-5cd72b6d72488%22	http://stukram.mikhailmasterov.com/html/clients.html	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/clients.html	(from http://stukram.mikhailmasterov.com/html/home-5.html)
11:35:58	23133/23133	---MCZ	200	added ('OK')	text/html	etag:W/%225a5d-5cd72b6ef9e28%22	http://stukram.mikhailmasterov.com/html/vertical-projects.html	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/vertical-projects.html	(from http://stukram.mikhailmasterov.com/html/home-5.html)
